artist,genre,songs
1,1,Perfect
1,1,Shape of you
1,1,Photograph
1,1,Supermarker Flowers
1,1,Dive
1,1,Happier
1,1,Thinking out loud
2,1,Blank Space
2,1,Shake it off
2,1,Anti Hero
2,1,Love Story
2,1,You belong with me
2,1,Bad blood
2,1,Enchanted
3,1,Baby
3,1,Sorry
3,1,Love Yourself
3,1,What Do You Mean
3,1,Yummy
3,1,Intentions
3,1,Never Say Never
4,1,"Thank U, Next"
4,1,7 Rings
4,1,No Tears Left to Cry
4,1,God is a woman
4,1,Breathin
4,1,Break Free
4,1,Into You
5,1,Firework
5,1,Roar
5,1,Dark Horse
5,1,Teenage Dream
5,1,California Gurls
5,1,Hot N Cold
5,1,Last Friday Night
6,2,Hotel California
6,2,Take It Easy
6,2,Desperado
6,2,Life in the Fast Lane
6,2,Tequila Sunrise
6,2,Lyin' Eyes
6,2,Peaceful Easy Feeling
7,2,Highway to Hell
7,2,Back in Black
7,2,Thunderstruck
7,2,You Shook Me All Night Long
7,2,Hells Bells
7,2,T.N.T.
7,2,Shoot to Thrill
8,2,All Out of Love
8,2,Making Love Out of Nothing at All
8,2,Lost in Love
8,2,The One That You Love
8,2,Even the Nights Are Better
8,2,Every Woman in the World
8,2,Here I Am 
9,2,Hey Jude
9,2,Let It Be
9,2,Yesterday
9,2,Come Together
9,2,Help!
9,2,Here Comes the Sun
9,2,Twist and Shout
10,2,"Sugar, We're Goin Down"
10,2,"Dance, Dance"
10,2,Thnks fr th Mmrs
10,2,Centuries
10,2,My Songs Know What You Did in the Dark 
10,2,Uma Thurman
10,2,I Don't Care
11,3,Misery Business
11,3,Still Into You
11,3,Ain't It Fun
11,3,The Only Exception
11,3,That's What You Get
11,3,Decode
11,3,Hard Times
12,3,Welcome to the Black Parade
12,3,Helena
12,3,I'm Not Okay (I Promise)
12,3,Teenagers
12,3,Famous Last Words
12,3,Cancer
12,3,Mama
13,3,"Dear Maria, Count Me In"
13,3,Weightless
13,3,Something's Gotta Give
13,3,Kids in the Dark
13,3,Monsters
13,3,Remembering Sunday
13,3,Dirty Laundry
14,3,In the End
14,3,Numb
14,3,Crawling
14,3,Somewhere I Belong
14,3,Faint
14,3,Breaking the Habit
14,3,What I've Done
15,3,Ocean Avenue
15,3,Only One
15,3,Lights and Sounds
15,3,Way Away
15,3,Hang You Up
15,3,Here I Am Alive
15,3,Believe
16,4,Good Day
16,4,Palette
16,4,Love Poem
16,4,BBIBBI
16,4,Twenty-Three
16,4,Blueming
16,4,Through the Night
17,4,Love Shot
17,4,Ko Ko Bop
17,4,Monster
17,4,Growl
17,4,Tempo
17,4,Call Me Baby
17,4,Obsession
18,4,Lullaby
18,4,Just Right
18,4,Hard Carry
18,4,You Are
18,4,Fly
18,4,Eclipse
18,4,If You Do
19,4,Dynamite
19,4,Butter
19,4,Boy With Luv 
19,4,DNA
19,4,Fake Love
19,4,MIC Drop
19,4,Blood Sweat & Tears
20,4,Drunk-Dazed
20,4,Given-Taken
20,4,Fever
20,4,Border: Carnival
20,4,Let Me In
20,4,Flicker
20,4,Not For Sale
21,5,Paranoid
21,5,Iron Man
21,5,War Pigs
21,5,Sabbath Bloody Sabbath
21,5,N.I.B.
21,5,Sweet Leaf
21,5,Children of the Grave
22,5,Symphony of Destruction
22,5,Holy Wars
22,5,Tornado of Souls
22,5,Hangar 18
22,5,Peace Sells
22,5,A Tout le Monde
22,5,Sweating Bullets
23,5,Breaking the Law
23,5,Painkiller
23,5,You've Got Another Thing Comin'
23,5,Living After Midnight
23,5,Electric Eye
23,5,Hell Bent for Leather
23,5,Metal Gods
24,5,Enter Sandman
24,5,Nothing Else Matters
24,5,Master of Puppets
24,5,One
24,5,The Unforgiven
24,5,Fade to Black
24,5,Seek & Destroy
25,5,Pull Me Under
25,5,Metropolis Pt. 1: The Miracle and the Sleeper
25,5,The Spirit Carries On
25,5,Octavarium
25,5,Panic Attack
25,5,Home
25,5,As I Am
